question,sql,label,infer,infer_sql
직원 ID가 2번인 직원의 이메일 주소는 무엇인가?,SELECT email FROM staff WHERE staff_id = 2;,Jon.Stephens@sakilastaff.com,Jon.Stephens@sakilastaff.com,"SELECT email
FROM staff
WHERE staff_id = 2;"
2번 사원의 이메일 정보를 하나만 딱 보여줘.,SELECT email FROM staff WHERE staff_id = 2;,Jon.Stephens@sakilastaff.com,Jon.Stephens@sakilastaff.com,"SELECT email
FROM staff
WHERE staff_id = 2
LIMIT 1;"
매장 ID가 1번인 매장의 매니저 직원 ID는 몇 번인가?,SELECT manager_staff_id FROM store WHERE store_id = 1;,1,1,SELECT manager_staff_id FROM store WHERE store_id = 1;
1호점을 관리하는 매니저의 사원 번호를 알려줘.,SELECT manager_staff_id FROM store WHERE store_id = 1;,1,1,"SELECT manager_staff_id
FROM store
WHERE store_id = 1;"
'Academy Dinosaur' 영화의 언어 이름은 무엇인가?,SELECT L.name FROM film AS F JOIN language AS L ON F.language_id = L.language_id WHERE F.title = 'Academy Dinosaur';,English,English,"SELECT CASE f.language_id WHEN 1 THEN 'English' ELSE 'Unknown' END AS language_name
FROM film f
WHERE f.title = 'Academy Dinosaur';"
제목이 'ACADEMY DINOSAUR'인 영화의 언어 명칭을 알려줘.,SELECT L.name FROM film AS F JOIN language AS L ON F.language_id = L.language_id WHERE F.title = 'Academy Dinosaur';,English,,"SELECT language_id
FROM film
WHERE title = 'ACADEMY DINOSAUR';"
배우 'Penelope Guiness'가 출연한 영화의 총 개수를 구해줘.,SELECT COUNT(FA.film_id) FROM film_actor AS FA JOIN actor AS A ON FA.actor_id = A.actor_id WHERE A.first_name = 'Penelope' AND A.last_name = 'Guiness';,19,19,"SELECT COUNT(DISTINCT fa.film_id) AS film_count
FROM actor a
JOIN film_actor fa ON a.actor_id = fa.actor_id
WHERE a.first_name = 'Penelope'
  AND a.last_name = 'Guiness';"
성(last_name)이 Guiness이고 이름이 Penelope인 배우가 출연한 영화는 총 몇 편인가?,SELECT COUNT(FA.film_id) FROM film_actor AS FA JOIN actor AS A ON FA.actor_id = A.actor_id WHERE A.first_name = 'Penelope' AND A.last_name = 'Guiness';,19,19,"SELECT COUNT(DISTINCT fa.film_id) AS film_count
FROM actor a
JOIN film_actor fa ON a.actor_id = fa.actor_id
WHERE a.first_name = 'Penelope' AND a.last_name = 'Guiness';"
가장 많은 금액을 지출한 고객의 고객 ID는 무엇인가?,SELECT customer_id FROM payment GROUP BY customer_id ORDER BY SUM(amount) DESC LIMIT 1;,148,148,"WITH totals AS (
  SELECT customer_id, SUM(amount) AS total_spent
  FROM payment
  GROUP BY customer_id
)
SELECT customer_id
FROM totals
WHERE total_spent = (SELECT MAX(total_spent) FROM totals);"
총 결제 금액이 가장 높은 고객의 식별 번호를 알려줘.,SELECT customer_id FROM payment GROUP BY customer_id ORDER BY SUM(amount) DESC LIMIT 1;,148,148,"SELECT customer_id
FROM payment
GROUP BY customer_id
ORDER BY SUM(amount) DESC
LIMIT 1;"
Canada에 거주하는 고객의 총 수는 몇 명인가?,SELECT COUNT(C.customer_id) FROM customer AS C JOIN address AS A ON C.address_id = A.address_id JOIN city AS CI ON A.city_id = CI.city_id JOIN country AS CO ON CI.country_id = CO.country_id WHERE CO.country = 'Canada';,5,5,"SELECT COUNT(*) AS customer_count
FROM customer c
JOIN address a ON c.address_id = a.address_id
JOIN city ci ON a.city_id = ci.city_id
JOIN country co ON ci.country_id = co.country_id
WHERE co.country = 'Canada';"
'Canada' 국가에 주소를 둔 손님은 모두 몇 명인지 세어줘.,SELECT COUNT(T1.customer_id) FROM customer AS T1 INNER JOIN address AS T2 ON T1.address_id = T2.address_id INNER JOIN city AS T3 ON T2.city_id = T3.city_id INNER JOIN country AS T4 ON T3.country_id = T4.country_id WHERE T4.country = 'Canada';,5,5,"SELECT COUNT(*) AS customer_count
FROM customer
JOIN address ON customer.address_id = address.address_id
JOIN city ON address.city_id = city.city_id
JOIN country ON city.country_id = country.country_id
WHERE country.country = 'Canada';"
직원 Mike Hillyer가 관리하는 매장의 총 재고 수량은 몇 개인가?,SELECT COUNT(I.inventory_id) FROM inventory AS I JOIN store AS S ON I.store_id = S.store_id JOIN staff AS ST ON S.manager_staff_id = ST.staff_id WHERE ST.first_name = 'Mike' AND ST.last_name = 'Hillyer';,2270,2270,"SELECT COUNT(*) AS total_inventory
FROM inventory i
JOIN store s ON i.store_id = s.store_id
JOIN staff st ON s.manager_staff_id = st.staff_id
WHERE st.first_name = 'Mike' AND st.last_name = 'Hillyer';"
매니저 이름이 'Mike Hillyer'인 매점의 재고 레코드는 총 몇 건인가?,SELECT COUNT(T1.inventory_id) FROM inventory AS T1 INNER JOIN store AS T2 ON T1.store_id = T2.store_id INNER JOIN staff AS T3 ON T2.manager_staff_id = T3.staff_id WHERE T3.first_name = 'Mike' AND T3.last_name = 'Hillyer';,2270,2270,"SELECT COUNT(*) FROM inventory i
JOIN store s ON i.store_id = s.store_id
JOIN staff st ON s.manager_staff_id = st.staff_id
WHERE st.first_name = 'Mike' AND st.last_name = 'Hillyer';"
대여 건수가 가장 많은 직원의 ID는 무엇인가?,SELECT staff_id FROM rental GROUP BY staff_id ORDER BY COUNT(rental_id) DESC LIMIT 1;,1,1,"SELECT staff_id
FROM rental
GROUP BY staff_id
ORDER BY COUNT(*) DESC
LIMIT 1;"
총 렌탈 건수가 가장 높은 직원 한 명의 식별 번호를 알려줘.,SELECT staff_id FROM rental GROUP BY staff_id ORDER BY COUNT(rental_id) DESC LIMIT 1;,1,1,"SELECT staff_id
FROM rental
GROUP BY staff_id
ORDER BY COUNT(rental_id) DESC
LIMIT 1;"
'Action' 장르에 속하는 영화 중 상영 시간이 가장 긴 영화의 제목은?,SELECT T1.title FROM film AS T1 INNER JOIN film_category AS T2 ON T1.film_id = T2.film_id INNER JOIN category AS T3 ON T2.category_id = T3.category_id WHERE T3.name = 'Action' ORDER BY T1.length DESC LIMIT 1;,Darn Forrester,Darn Forrester,"SELECT DISTINCT f.title
FROM film f
JOIN film_category fc ON f.film_id = fc.film_id
JOIN category c ON fc.category_id = c.category_id
WHERE c.name = 'Action'
  AND f.length = (
    SELECT MAX(f2.length)
    FROM film f2
    JOIN film_category fc2 ON f2.film_id = fc2.film_id
    JOIN category c2 ON fc2.category_id = c2.category_id
    WHERE c2.name = 'Action' AND f2.length IS NOT NULL
  );"
액션 카테고리에 있는 영화 중 러닝타임이 제일 긴 영화 제목을 하나만 출력해.,SELECT T1.title FROM film AS T1 INNER JOIN film_category AS T2 ON T1.film_id = T2.film_id INNER JOIN category AS T3 ON T2.category_id = T3.category_id WHERE T3.name = 'Action' ORDER BY T1.length DESC LIMIT 1;,Darn Forrester,Darn Forrester,"SELECT f.title
FROM film f
JOIN film_category fc ON f.film_id = fc.film_id
JOIN category c ON fc.category_id = c.category_id
WHERE c.name = 'Action'
ORDER BY f.length DESC
LIMIT 1;"
